archive_path	file_stem	resolved_isolate_id	resolution_method	matches_wgs
csv_median/720237_18_D11.csv	720237_18_D11	720237-18	numeric_tgnr	True
csv_median/721171_18_C10.csv	721171_18_C10	721171-18	numeric_tgnr	True
csv_median/c836fa58_59c9_446c_a284_29321ddda696_C4.csv	c836fa58_59c9_446c_a284_29321ddda696_C4	127083-18	uuid_mapped	True
csv_median/721318_18_E6.csv	721318_18_E6	721318-18	numeric_tgnr	True
csv_median/122752_18_H7.csv	122752_18_H7	122752-18	numeric_tgnr	True
csv_median/efa3904e_0218_450b_88df_e8b4a833a164_A2.csv	efa3904e_0218_450b_88df_e8b4a833a164_A2	131196-18	uuid_mapped	True
csv_median/719590_18_G6.csv	719590_18_G6	719590-18	numeric_tgnr	True
csv_median/a81836f2_ef73_4aa7_a419_d3eda2c234e4_A4_2.csv	a81836f2_ef73_4aa7_a419_d3eda2c234e4_A4_2	131196-18	uuid_mapped	True
csv_median/d87f8f52_aa6b_4ac8_9e33_ba15a57dc6b6_B4.csv	d87f8f52_aa6b_4ac8_9e33_ba15a57dc6b6_B4	712246-18	uuid_mapped	True
csv_median/132418_18_B2.csv	132418_18_B2	132418-18	numeric_tgnr	True
csv_median/148801_18_F5.csv	148801_18_F5	148801-18	numeric_tgnr	True
csv_median/121362_18_C11.csv	121362_18_C11	121362-18	numeric_tgnr	True
csv_median/137889_18_E6.csv	137889_18_E6	137889-18	numeric_tgnr	True
csv_median/720573_18_G1.csv	720573_18_G1	720573-18	numeric_tgnr	True
csv_median/123972_18_B5.csv	123972_18_B5	123972-18	numeric_tgnr	True
csv_median/100223_19_F1.csv	100223_19_F1	100223-19	numeric_tgnr	True
csv_median/722009_18_F12.csv	722009_18_F12	722009-18	numeric_tgnr	True
csv_median/139019_18_A7.csv	139019_18_A7	139019-18	numeric_tgnr	True
csv_median/701650_19_G4.csv	701650_19_G4	701650-19	numeric_tgnr	True
csv_median/a91912d7_95d9_4241_ae7d_e60a8daa189d_A1.csv	a91912d7_95d9_4241_ae7d_e60a8daa189d_A1	131196-18	uuid_mapped	True
csv_median/720755_18_B9.csv	720755_18_B9	720755-18	numeric_tgnr	True
csv_median/720902_18_E12.csv	720902_18_E12	720902-18	numeric_tgnr	True
csv_median/115450_18_C9.csv	115450_18_C9	115450-18	numeric_tgnr	True
